Customer_ID,First_Name,Last_Name,Gender,Age,City,Country,Loyalty_Level,Registration_Year,Is_Active
1000001,Lucie,Marie,Female,70,Sainte Patrick,France,Silver,2024,True
1000002,Maurice,Joly,Female,80,Saint Jeannenec,France,Bronze,2018,True
1000003,Arthur,Martinez,Male,55,Saint NicolasVille,France,Bronze,2021,True
1000004,Gabrielle,Philippe,Male,76,Humbert-sur-Mer,France,Silver,2025,True
1000005,Caroline,Pruvost,Male,32,Robert,France,Bronze,2026,True
1000006,Patricia,Leroux,Female,23,Leblanc-la-Forêt,France,Gold,2025,True
1000007,Honoré,Fabre,Female,31,Henry,France,Silver,2021,True
1000008,Éric,Gillet,Male,75,Sainte Camilleboeuf,France,Bronze,2019,True
1000009,Josette,Aubry,Male,48,Sainte Élise,France,Bronze,2023,True
1000010,Gérard,Hoareau,Female,39,Sainte Véroniqueboeuf,France,Silver,2021,True
1000011,Hortense,Olivier,Male,62,Saint Margaud-sur-Mer,France,Silver,2026,True
1000012,Pénélope,Charpentier,Female,55,Saint Eugènenec,France,Silver,2026,True
1000013,Roger,De Sousa,Male,35,Goncalves,France,Platinum,2024,True
1000014,Alexandrie,Monnier,Female,34,Leconte,France,Silver,2020,True
1000015,René,Boutin,Female,49,Saint Élisabeth-sur-Mer,France,Gold,2024,True
1000016,Isaac,Pinto,Female,71,Dupuy-sur-Mer,France,Bronze,2019,True
1000017,Marianne,Germain,Male,69,Saint Valentine,France,Silver,2022,True
1000018,Arthur,Gomes,Female,76,RoyerBourg,France,Platinum,2023,True
1000019,Marcel,Duhamel,Male,76,Lecomte,France,Silver,2023,True
1000020,Marcelle,Didier,Female,45,Weissdan,France,Platinum,2021,True
1000021,Guy,Aubry,Female,54,Hoarau,France,Bronze,2020,True
1000022,Noémi,Guilbert,Female,61,Charlesnec,France,Gold,2018,False
1000023,Isabelle,Alexandre,Female,20,Vasseur,France,Bronze,2020,True
1000024,Guillaume,Grégoire,Male,72,RobinVille,France,Bronze,2020,True
1000025,Frédéric,Brunet,Female,38,Bazin,France,Gold,2022,True
1000026,Audrey,Godard,Female,50,Sainte Alexdan,France,Bronze,2020,False
1000027,Éléonore,Deschamps,Female,47,DuboisBourg,France,Bronze,2019,True
1000028,Maggie,Regnier,Male,45,Lecoq,France,Silver,2020,True
1000029,Lucy,Leblanc,Female,19,Sainte Bernadette-les-Bains,France,Bronze,2023,True
1000030,Cécile,Bernard,Female,34,Charrier,France,Silver,2021,True
1000031,Paulette,Colin,Male,31,Gautier-la-Forêt,France,Bronze,2022,True
1000032,Zoé,Riou,Male,36,Raynaud-sur-Mer,France,Bronze,2018,True
1000033,Honoré,Besson,Male,74,Gimenez,France,Bronze,2021,True
1000034,Renée,Laporte,Male,70,Sainte Claudine,France,Silver,2025,True
1000035,Alfred,Marie,Male,30,Le Gall,France,Bronze,2019,True
1000036,Olivier,Boyer,Female,62,Duhamel,France,Platinum,2023,True
1000037,Édouard,Clément,Male,53,Muller-les-Bains,France,Silver,2021,True
1000038,Gilbert,Delmas,Female,21,Dias-les-Bains,France,Gold,2022,True
1000039,Rémy,Evrard,Male,68,Briand-sur-Lecomte,France,Bronze,2018,True
1000040,Élodie,Faivre,Male,81,Delannoy,France,Bronze,2021,True
1000041,Thierry,Alexandre,Male,85,Navarro,France,Gold,2018,True
1000042,Diane,Sauvage,Female,34,Saint MauriceBourg,France,Bronze,2024,True
1000043,Yves,Lefebvre,Male,78,Lenoir-sur-Rolland,France,Platinum,2019,False
1000044,Jacqueline,Vasseur,Male,19,Saint Mathilde,France,Bronze,2018,True
1000045,Louise,Lopez,Female,82,Mercier,France,Bronze,2026,True
1000046,Arthur,Rémy,Female,69,Saint Rogerdan,France,Bronze,2026,True
1000047,Marcel,Gimenez,Male,53,Ramos,France,Bronze,2019,True
1000048,Henriette,Verdier,Male,37,Bergerdan,France,Silver,2024,True
1000049,Susan,Cordier,Male,57,Gauthier,France,Silver,2021,False
1000050,Étienne,Delmas,Male,73,Monniernec,France,Bronze,2018,True
1000051,Antoinette,Bigot,Male,33,Saint Charles,France,Bronze,2020,True
1000052,Anne,Petitjean,Male,81,Nicolas,France,Platinum,2026,True
1000053,Paul,Olivier,Female,39,Regnier,France,Bronze,2022,True
1000054,Caroline,Joly,Male,21,Vidal-la-Forêt,France,Bronze,2024,True
1000055,Célina,Menard,Male,51,Sainte SusanBourg,France,Silver,2019,True
1000056,Benoît,Gilles,Female,25,GarciaBourg,France,Silver,2020,True
1000057,Odette,Gomez,Female,31,Cordier,France,Gold,2019,True
1000058,Claire,Leduc,Male,23,Maréchal,France,Gold,2018,True
1000059,Charles,Gaillard,Female,64,Bernardnec,France,Bronze,2020,True
1000060,Rémy,De Sousa,Male,71,Briand,France,Bronze,2021,True
1000061,Marthe,Foucher,Female,52,Peltierdan,France,Gold,2023,True
1000062,Honoré,Aubert,Male,40,Carpentier,France,Bronze,2026,True
1000063,Bertrand,Delorme,Female,26,Bonnetboeuf,France,Gold,2022,True
1000064,Bertrand,Girard,Female,59,Martel-sur-Gaudin,France,Bronze,2025,False
1000065,Dominique,Laporte,Male,55,Boyer,France,Silver,2022,True
1000066,Danielle,Faure,Male,77,Muller,France,Bronze,2025,True
1000067,Jeannine,Mercier,Male,49,Antoine,France,Bronze,2024,False
1000068,Georges,Colas,Female,19,Delorme,France,Platinum,2018,True
1000069,Jeannine,Fournier,Female,57,Faure-sur-Humbert,France,Bronze,2026,True
1000070,Margaux,Guillon,Female,80,Barbe-sur-Gomes,France,Platinum,2020,True
1000071,Raymond,Martins,Male,23,Dupuis,France,Gold,2026,True
1000072,Rémy,Delaunay,Female,76,Leconte,France,Platinum,2019,True
1000073,Madeleine,Ribeiro,Male,68,GomesBourg,France,Bronze,2018,True
1000074,Alain,Albert,Male,48,Thibault-sur-Roussel,France,Bronze,2023,True
1000075,David,Tanguy,Female,59,Guillou,France,Bronze,2022,True
1000076,Rémy,Payet,Male,35,Muller,France,Gold,2019,True
1000077,Patrick,Lemaître,Male,75,Barbier,France,Silver,2024,True
1000078,Brigitte,Devaux,Female,44,Raymond,France,Silver,2025,True
1000079,Susan,Guibert,Male,29,Petit-la-Forêt,France,Bronze,2022,True
1000080,Margaud,Duval,Male,45,Aubry,France,Gold,2023,True
1000081,Gabriel,Gautier,Male,63,Meyer-la-Forêt,France,Bronze,2018,True
1000082,Roland,Texier,Female,40,Wagner,France,Bronze,2024,True
1000083,Zacharie,Martins,Male,30,Bodin,France,Silver,2020,True
1000084,Claudine,Deschamps,Male,46,Saint Luce,France,Bronze,2024,True
1000085,Audrey,Baron,Male,51,Saint Xavier,France,Gold,2019,False
1000086,Pénélope,Dumont,Male,43,Renard,France,Gold,2025,True
1000087,Nicole,Pichon,Male,60,Munoznec,France,Bronze,2025,False
1000088,Gabrielle,Petit,Female,68,Saint Marie-les-Bains,France,Silver,2024,True
1000089,Émilie,Da Silva,Male,63,Guillon,France,Bronze,2020,True
1000090,Françoise,Caron,Female,37,RodriguezVille,France,Bronze,2021,True
1000091,Thibault,Marchal,Female,70,Sainte Marc,France,Gold,2025,False
1000092,Maggie,Menard,Female,67,Sainte Renéenec,France,Bronze,2021,True
1000093,Laure,Bouvet,Male,20,Gomez,France,Platinum,2023,True
1000094,Isaac,Schmitt,Female,62,Laurent-les-Bains,France,Gold,2026,True
1000095,Nathalie,Le Roux,Female,41,Laroche-sur-Mer,France,Bronze,2021,False
1000096,René,Leroux,Female,25,Sainte Augustedan,France,Gold,2025,True
1000097,Matthieu,Bourgeois,Male,38,Marty-la-Forêt,France,Bronze,2021,True
1000098,Valentine,Dumas,Male,46,Laurent,France,Silver,2024,True
1000099,Margaux,Olivier,Male,40,Boulanger-la-Forêt,France,Bronze,2023,True
1000100,Daniel,Leleu,Female,21,Marty,France,Silver,2023,True
1000101,Lucy,Grégoire,Male,42,Potierboeuf,France,Gold,2025,True
1000102,Antoine,Ferreira,Male,80,Colin,France,Bronze,2018,True
1000103,Inès,Aubry,Male,20,Saint Jeannine,France,Silver,2018,True
1000104,Bernadette,Barre,Male,34,Nguyen,France,Bronze,2020,True
1000105,Julie,Gros,Female,25,Sainte Hortense-sur-Mer,France,Bronze,2020,True
1000106,Pierre,Bertrand,Female,27,Martin-sur-Mer,France,Bronze,2024,True
1000107,Aimée,Perret,Female,56,Sainte Laurenceboeuf,France,Bronze,2020,True
1000108,Margaud,Denis,Female,80,Guillou,France,Silver,2020,True
1000109,Thierry,Martineau,Female,46,Milletnec,France,Silver,2020,True
1000110,Marthe,Collet,Female,34,Rodriguez-sur-Mer,France,Bronze,2018,True
1000111,Astrid,Chartier,Female,22,Labbé-les-Bains,France,Bronze,2023,True
1000112,Laetitia,Colas,Male,31,Lebon,France,Gold,2020,True
1000113,Emmanuelle,Martin,Male,48,Renault,France,Bronze,2023,True
1000114,Marc,Perret,Male,60,Seguin-sur-Bègue,France,Bronze,2022,True
1000115,Tristan,Turpin,Male,62,Pichon-sur-Mer,France,Bronze,2019,True
1000116,Danielle,Reynaud,Male,67,Delmas,France,Bronze,2024,True
